model,target,budget_seconds,best_alg,best_eps,best_RMSE
bs,VaR,1s,SA,1/32,0.0341
bs,VaR,10s,SA,1/256,0.0128
bs,VaR,60s,SA,1/256,0.0128
bs,ES,1s,SA,1/512,0.0177
bs,ES,10s,SA,1/512,0.0177
bs,ES,60s,SA,1/512,0.0177
merton,VaR,1s,SA,1/32,0.0461
merton,VaR,10s,SA,1/512,0.0171
merton,VaR,60s,SA,1/512,0.0171
merton,ES,1s,SA,1/64,0.1406
merton,ES,10s,SA,1/512,0.1267
merton,ES,60s,SA,1/512,0.1267
heston,VaR,1s,MLSA,1/64,0.7360
heston,VaR,10s,SA,1/64,0.0327
heston,VaR,60s,SA,1/512,0.0283
heston,ES,1s,MLSA,1/64,0.8635
heston,ES,10s,SA,1/32,0.0731
heston,ES,60s,SA,1/512,0.0180
