target,algorithm,eps,mean_time,RMSE
VaR,SA,1/32,1.3452,0.0773
VaR,SA,1/64,9.9812,0.0327
VaR,SA,1/128,16.1223,0.0283
VaR,SA,1/256,19.6934,0.0283
VaR,SA,1/512,16.4462,0.0283
VaR,NSA,1/32,0.1343,1.3991
VaR,NSA,1/64,1.3941,0.7189
VaR,NSA,1/128,3.4185,0.3557
VaR,NSA,1/256,6.1955,0.1650
VaR,NSA,1/512,9.5236,0.0737
VaR,MLSA,1/32,0.2651,1.3953
VaR,MLSA,1/64,0.5320,0.7360
VaR,MLSA,1/128,1.2381,0.3888
VaR,MLSA,1/256,2.7861,0.1954
VaR,MLSA,1/512,5.5085,0.1309
ES,SA,1/32,1.3054,0.0731
ES,SA,1/64,11.0191,0.0219
ES,SA,1/128,15.9099,0.0180
ES,SA,1/256,15.4345,0.0180
ES,SA,1/512,17.0990,0.0180
ES,NSA,1/32,0.1066,1.6850
ES,NSA,1/64,1.6483,0.8712
ES,NSA,1/128,3.2657,0.4173
ES,NSA,1/256,5.1372,0.1783
ES,NSA,1/512,10.0618,0.0588
ES,MLSA,1/32,0.2175,1.7012
ES,MLSA,1/64,0.5375,0.8635
ES,MLSA,1/128,1.3182,0.4206
ES,MLSA,1/256,2.8791,0.1863
ES,MLSA,1/512,5.6015,0.0870
