target,algorithm,eps,mean_time,RMSE
VaR,SA,1/32,0.1350,0.0461
VaR,SA,1/64,1.0010,0.0195
VaR,SA,1/128,1.4104,0.0171
VaR,SA,1/256,1.3601,0.0171
VaR,SA,1/512,1.2696,0.0171
VaR,NSA,1/32,0.1185,1.8604
VaR,NSA,1/64,1.0415,1.0196
VaR,NSA,1/128,1.9877,0.5374
VaR,NSA,1/256,2.7022,0.2805
VaR,NSA,1/512,4.2617,0.1479
VaR,MLSA,1/32,0.1587,1.9048
VaR,MLSA,1/64,0.4083,1.0486
VaR,MLSA,1/128,0.9179,0.5555
VaR,MLSA,1/256,1.9423,0.2954
VaR,MLSA,1/512,4.1933,0.1775
ES,SA,1/32,0.1274,0.3495
ES,SA,1/64,0.9945,0.1406
ES,SA,1/128,1.3836,0.1267
ES,SA,1/256,1.3945,0.1267
ES,SA,1/512,1.3500,0.1267
ES,NSA,1/32,0.1236,1.9982
ES,NSA,1/64,1.0564,1.0806
ES,NSA,1/128,1.9895,0.6053
ES,NSA,1/256,2.7122,0.3640
ES,NSA,1/512,4.3759,0.2478
ES,MLSA,1/32,0.1581,1.9318
ES,MLSA,1/64,0.3975,1.0280
ES,MLSA,1/128,0.9428,0.5669
ES,MLSA,1/256,1.7132,0.3308
ES,MLSA,1/512,4.2830,0.2183
