model,target,eps,algorithm,mean,p50,p95,p99,max,p95_over_mean
bs,VaR,1/32,SA,0.3684,0.3478,0.5438,1.1141,1.2170,1.48
bs,VaR,1/64,SA,2.7658,2.6964,3.5034,3.9024,4.7168,1.27
bs,VaR,1/128,SA,2.5871,2.5380,3.4794,4.0642,4.2239,1.34
bs,VaR,1/256,SA,2.2812,2.5319,3.4339,4.0434,4.5959,1.51
bs,VaR,1/512,SA,1.0286,1.0945,1.3784,1.5385,1.5659,1.34
bs,VaR,1/32,NSA,0.5451,0.5132,0.8075,1.3808,1.9098,1.48
bs,VaR,1/64,NSA,3.2020,3.0930,4.1020,6.4338,6.7913,1.28
bs,VaR,1/128,NSA,3.2645,3.0690,5.4563,5.8251,6.1649,1.67
bs,VaR,1/256,NSA,12.1997,4.6159,41.1552,41.6935,43.3696,3.37
bs,VaR,1/512,NSA,11.4367,7.3956,33.6092,48.0265,48.2277,2.94
bs,VaR,1/32,MLSA,0.1674,0.1578,0.2600,0.3350,0.3525,1.55
bs,VaR,1/64,MLSA,0.3503,0.3354,0.5331,0.7182,0.7768,1.52
bs,VaR,1/128,MLSA,0.8920,0.8596,1.0689,1.5726,1.6978,1.20
bs,VaR,1/256,MLSA,2.1694,2.1095,2.5833,2.7935,3.1798,1.19
bs,VaR,1/512,MLSA,3.5464,3.4911,3.9330,4.3312,4.4460,1.11
bs,ES,1/32,SA,0.3702,0.3483,0.6057,0.9220,1.0262,1.64
bs,ES,1/64,SA,2.6783,2.6592,3.4044,3.8146,3.8938,1.27
bs,ES,1/128,SA,2.6539,2.6079,3.5276,3.7831,4.1408,1.33
bs,ES,1/256,SA,2.5622,2.5123,4.1077,4.7592,5.0122,1.60
bs,ES,1/512,SA,0.9913,1.0105,1.3643,1.4012,1.4253,1.38
bs,ES,1/32,NSA,0.5322,0.5128,0.7454,1.0588,1.2847,1.40
bs,ES,1/64,NSA,3.0075,2.9708,3.8137,4.2973,4.3336,1.27
bs,ES,1/128,NSA,3.3787,3.2289,4.8141,5.4193,5.5915,1.42
bs,ES,1/256,NSA,8.5586,3.4522,49.7481,69.5327,69.6465,5.81
bs,ES,1/512,NSA,7.9151,4.2981,20.2223,26.8661,27.0109,2.55
bs,ES,1/32,MLSA,0.1491,0.1423,0.1933,0.2722,0.3075,1.30
bs,ES,1/64,MLSA,0.3609,0.3311,0.4952,0.7866,0.9462,1.37
bs,ES,1/128,MLSA,0.9195,0.8948,1.0988,1.3747,1.5493,1.19
bs,ES,1/256,MLSA,1.8903,1.5944,2.9011,3.4819,3.5010,1.53
bs,ES,1/512,MLSA,3.4061,3.3690,3.6321,4.4615,4.6532,1.07
merton,VaR,1/32,SA,0.1350,0.1364,0.1785,0.2212,0.2267,1.32
merton,VaR,1/64,SA,1.0010,1.0227,1.0586,1.1505,1.2353,1.06
merton,VaR,1/128,SA,1.4104,1.5535,1.6123,1.6392,1.6515,1.14
merton,VaR,1/256,SA,1.3601,1.4089,1.6390,1.6978,1.7480,1.21
merton,VaR,1/512,SA,1.2696,1.2839,1.6683,1.6806,1.9332,1.31
merton,VaR,1/32,NSA,0.1185,0.1230,0.1530,0.1815,0.1843,1.29
merton,VaR,1/64,NSA,1.0415,1.0321,1.1754,1.2802,1.3609,1.13
merton,VaR,1/128,NSA,1.9877,1.9509,2.3244,2.9063,3.0323,1.17
merton,VaR,1/256,NSA,2.7022,2.7011,2.8538,3.1403,3.4881,1.06
